--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20111106 19:15	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1009.0	0	0.000	0.0
20111106 19:20	20.3	20.3	20.3	97	19.8	0	0	-100000	0.2	1009.2	0	0.000	0.0
20111106 19:25	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1009.3	0	0.000	0.0
20111106 19:30	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1009.4	0	0.000	0.0
20111106 19:35	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1009.5	0	0.000	0.0
20111106 19:40	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1009.6	0	0.000	0.0
20111106 19:45	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1009.6	0	0.000	0.0
20111106 19:50	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1009.7	0	0.000	0.0
20111106 19:55	20.4	20.4	20.4	97	20.0	0	0	-100000	0.2	1009.7	0	0.000	0.0
20111106 20:00	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1009.8	0	0.000	0.0
20111106 20:05	20.4	20.4	20.4	97	19.9	0	2	22	0.0	1009.9	0	0.000	0.0
20111106 20:10	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.0	0	0.000	0.0
20111106 20:15	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1010.0	0	0.000	0.0
20111106 20:20	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.1	0	0.000	0.0
20111106 20:25	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.1	0	0.000	0.0
20111106 20:30	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.1	0	0.000	0.0
20111106 20:35	20.4	20.4	20.4	97	20.0	0	0	-100000	0.2	1010.3	0	0.000	0.0
20111106 20:40	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.3	0	0.000	0.0
20111106 20:45	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1010.3	0	0.000	0.0
20111106 20:50	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.4	0	0.000	0.0
20111106 20:55	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.4	0	0.000	0.0
20111106 21:00	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.4	0	0.000	0.0
20111106 21:05	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1010.4	0	0.000	0.0
20111106 21:10	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1010.4	0	0.000	0.0
20111106 21:15	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1010.4	0	0.000	0.0
20111106 21:20	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1010.5	0	0.000	0.0
20111106 21:25	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.5	0	0.000	0.0
20111106 21:30	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.6	0	0.000	0.0
20111106 21:35	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1010.7	0	0.000	0.0
